store_nbr,m,date,t_trans
51,5,2013-05-01,55239
51,6,2013-06-01,52760
51,7,2013-07-01,52781
51,8,2013-08-01,54523
51,9,2013-09-01,51198
51,10,2013-10-01,51089
51,11,2013-11-01,51586
51,12,2013-12-01,66198
54,1,2013-01-02,25203
54,2,2013-02-01,24859
54,3,2013-03-01,28166
54,4,2013-04-01,26239
54,5,2013-05-01,27867
54,6,2013-06-01,25824
54,7,2013-07-01,25540
54,8,2013-08-01,27308
54,9,2013-09-01,25402
54,10,2013-10-01,25626
54,11,2013-11-01,25534
54,12,2013-12-01,30420
