date,store_nbr,transactions
2013-01-06,31,1468
2013-01-06,32,772
2013-01-06,33,1302
2013-01-06,34,2377
2013-01-06,35,651
2013-01-06,37,1282
2013-01-06,38,2522
2013-01-06,39,1571
2013-01-06,40,1023
2013-01-06,41,1142
2013-01-06,43,1194
2013-01-06,44,4925
2013-01-06,45,4418
2013-01-06,46,5401
2013-01-06,47,4935
2013-01-06,48,4591
2013-01-06,49,2795
2013-01-06,50,3297
2013-01-06,51,1934
2013-01-06,54,1180
2013-01-07,1,1807
2013-01-07,2,1911
2013-01-07,3,2996
2013-01-07,4,1514
2013-01-07,5,1577
2013-01-07,6,1713
2013-01-07,7,1705
2013-01-07,8,2768
2013-01-07,9,2162
2013-01-07,10,1148
2013-01-07,11,2361
2013-01-07,12,1113
2013-01-07,13,921
2013-01-07,14,1671
2013-01-07,15,1413
2013-01-07,16,1066
2013-01-07,17,1292
2013-01-07,18,1369
2013-01-07,19,1137
2013-01-07,23,1185
2013-01-07,24,2320
2013-01-07,25,703
2013-01-07,26,792
2013-01-07,27,1093
2013-01-07,28,775
2013-01-07,30,663
2013-01-07,31,1170
2013-01-07,32,699
2013-01-07,33,1078
2013-01-07,34,2224
2013-01-07,35,568
2013-01-07,37,1450
2013-01-07,38,1549
2013-01-07,39,1356
2013-01-07,40,1148
2013-01-07,41,744
2013-01-07,43,1137
2013-01-07,44,3871
2013-01-07,45,3339
2013-01-07,46,3205
2013-01-07,47,3570
2013-01-07,48,2697
2013-01-07,49,1719
2013-01-07,50,2371
2013-01-07,51,1637
2013-01-07,54,890
2013-01-08,1,1869
2013-01-08,2,1856
2013-01-08,3,2826
2013-01-08,4,1397
2013-01-08,5,1504
2013-01-08,6,1555
2013-01-08,7,1524
2013-01-08,8,2639
2013-01-08,9,2206
2013-01-08,10,1100
2013-01-08,11,2388
2013-01-08,12,1130
2013-01-08,13,879
2013-01-08,14,1673
2013-01-08,15,1330
2013-01-08,16,1009
2013-01-08,17,1197
2013-01-08,18,1388
2013-01-08,19,1013
2013-01-08,23,1143
2013-01-08,24,2349
2013-01-08,25,626
2013-01-08,26,729
2013-01-08,27,999
2013-01-08,28,877
2013-01-08,30,701
2013-01-08,31,1200
2013-01-08,32,641
2013-01-08,33,1164
2013-01-08,34,2272
2013-01-08,35,555
2013-01-08,37,1366
2013-01-08,38,1331
2013-01-08,39,1417
2013-01-08,40,1090
2013-01-08,41,764
2013-01-08,43,1155
2013-01-08,44,3593
2013-01-08,45,3102
2013-01-08,46,3061
2013-01-08,47,3185
2013-01-08,48,2320
2013-01-08,49,1609
2013-01-08,50,2251
2013-01-08,51,1613
2013-01-08,54,729
2013-01-09,1,1910
2013-01-09,2,1975
2013-01-09,3,2932
2013-01-09,4,1533
2013-01-09,5,1513
2013-01-09,6,1702
2013-01-09,7,1525
2013-01-09,8,2802
2013-01-09,9,1976
2013-01-09,10,930
2013-01-09,11,2230
2013-01-09,12,1108
2013-01-09,13,831
2013-01-09,14,1591
2013-01-09,15,1276
2013-01-09,16,923
2013-01-09,17,1110
2013-01-09,18,1206
2013-01-09,19,960
2013-01-09,23,1127
2013-01-09,24,2354
2013-01-09,25,755
2013-01-09,26,738
2013-01-09,27,1033
2013-01-09,28,645
2013-01-09,30,627
2013-01-09,31,1007
2013-01-09,32,591
2013-01-09,33,976
2013-01-09,34,2101
2013-01-09,35,539
2013-01-09,37,1544
2013-01-09,38,1525
2013-01-09,39,1219
2013-01-09,40,939
2013-01-09,41,749
2013-01-09,43,1000
2013-01-09,44,4006
2013-01-09,45,3268
2013-01-09,46,2989
2013-01-09,47,3370
2013-01-09,48,2316
2013-01-09,49,1776
2013-01-09,50,2228
2013-01-09,51,1786
2013-01-09,54,730
2013-01-10,1,1679
2013-01-10,2,1761
2013-01-10,3,2649
2013-01-10,4,1326
2013-01-10,5,1449
2013-01-10,6,1422
2013-01-10,7,1487
2013-01-10,8,2545
2013-01-10,9,1942
2013-01-10,10,925
2013-01-10,11,2274
2013-01-10,12,1121
2013-01-10,13,877
2013-01-10,14,1423
2013-01-10,15,1317
2013-01-10,16,889
2013-01-10,17,1141
2013-01-10,18,1219
2013-01-10,19,960
2013-01-10,23,1024
2013-01-10,24,2226
2013-01-10,25,632
2013-01-10,26,710
2013-01-10,27,900
2013-01-10,28,700
2013-01-10,30,693
2013-01-10,31,1001
2013-01-10,32,603
2013-01-10,33,868
2013-01-10,34,2079
2013-01-10,35,553
2013-01-10,37,1323
2013-01-10,38,1323
2013-01-10,39,1209
2013-01-10,40,944
2013-01-10,41,649
2013-01-10,43,967
2013-01-10,44,3323
2013-01-10,45,2697
2013-01-10,46,2627
2013-01-10,47,2982
2013-01-10,48,2212
2013-01-10,49,1481
2013-01-10,50,2052
2013-01-10,51,1515
2013-01-10,54,684
2013-01-11,1,1813
2013-01-11,2,1786
2013-01-11,3,2954
2013-01-11,4,1398
2013-01-11,5,1446
2013-01-11,6,1563
2013-01-11,7,1497
2013-01-11,8,2858
2013-01-11,9,1750
2013-01-11,10,877
2013-01-11,11,2053
2013-01-11,12,1072
2013-01-11,13,825
2013-01-11,14,1412
2013-01-11,15,1168
2013-01-11,16,912
2013-01-11,17,986
2013-01-11,18,1221
2013-01-11,19,999
2013-01-11,23,1046
2013-01-11,24,2350
2013-01-11,25,979
2013-01-11,26,725
2013-01-11,27,856
2013-01-11,28,618
2013-01-11,30,623
2013-01-11,31,1011
2013-01-11,32,641
2013-01-11,33,893
2013-01-11,34,2407
2013-01-11,35,538
2013-01-11,37,1447
2013-01-11,38,1557
2013-01-11,39,1163
2013-01-11,40,970
2013-01-11,41,686
2013-01-11,43,1264
2013-01-11,44,3873
2013-01-11,45,3083
2013-01-11,46,2892
2013-01-11,47,3312
2013-01-11,48,2396
2013-01-11,49,1768
2013-01-11,50,2226
2013-01-11,51,1658
2013-01-11,54,766
2013-01-12,1,1473
2013-01-12,2,1998
2013-01-12,3,3407
2013-01-12,4,1543
2013-01-12,5,1553
2013-01-12,6,2020
2013-01-12,7,1416
2013-01-12,8,2936
2013-01-12,9,2271
2013-01-12,10,1120
2013-01-12,11,2603
2013-01-12,12,1241
2013-01-12,13,1179
2013-01-12,14,1939
2013-01-12,15,1396
2013-01-12,16,1045
2013-01-12,17,1385
2013-01-12,18,1217
2013-01-12,19,1521
2013-01-12,23,1208
2013-01-12,24,2346
2013-01-12,25,1368
2013-01-12,26,907
2013-01-12,27,1330
2013-01-12,28,890
2013-01-12,30,702
2013-01-12,31,1262
2013-01-12,32,822
2013-01-12,33,1108
2013-01-12,34,2591
2013-01-12,35,750
2013-01-12,37,1622
2013-01-12,38,2142
2013-01-12,39,1518
2013-01-12,40,1039
2013-01-12,41,861
2013-01-12,43,1142
2013-01-12,44,4423
2013-01-12,45,3927
2013-01-12,46,4263
2013-01-12,47,4278
2013-01-12,48,3355
2013-01-12,49,2309
2013-01-12,50,3258
2013-01-12,51,1873
2013-01-12,54,954
2013-01-13,1,542
2013-01-13,2,1988
2013-01-13,3,3217
2013-01-13,4,1873
2013-01-13,5,1510
2013-01-13,6,2219
2013-01-13,7,1328
2013-01-13,8,2765
2013-01-13,9,2457
2013-01-13,10,1013
2013-01-13,11,2875
2013-01-13,12,1166
2013-01-13,13,858
2013-01-13,14,1317
2013-01-13,15,1122
2013-01-13,16,1260
2013-01-13,17,1441
2013-01-13,18,1376
2013-01-13,19,1269
2013-01-13,23,1187
2013-01-13,24,2001
2013-01-13,25,748
2013-01-13,26,963
2013-01-13,27,1575
2013-01-13,28,1197
2013-01-13,30,686
2013-01-13,31,1467
2013-01-13,32,753
2013-01-13,33,1207
2013-01-13,34,2381
2013-01-13,35,657
2013-01-13,37,1210
2013-01-13,38,2256
2013-01-13,39,1630
2013-01-13,40,1048
2013-01-13,41,1120
2013-01-13,43,1145
2013-01-13,44,4676
2013-01-13,45,4345
2013-01-13,46,4713
2013-01-13,47,4796
2013-01-13,48,3993
2013-01-13,49,2662
2013-01-13,50,3261
2013-01-13,51,1808
2013-01-13,54,1225
2013-01-14,1,1780
2013-01-14,2,1713
2013-01-14,3,2785
2013-01-14,4,1321
2013-01-14,5,1457
2013-01-14,6,1545
2013-01-14,7,1629
2013-01-14,8,2622
2013-01-14,9,2009
2013-01-14,10,1000
2013-01-14,11,2056
2013-01-14,12,1147
2013-01-14,13,869
2013-01-14,14,1700
2013-01-14,15,1368
2013-01-14,16,977
2013-01-14,17,1209
2013-01-14,18,1314
2013-01-14,19,1115
2013-01-14,23,1138
2013-01-14,24,2341
2013-01-14,25,664
2013-01-14,26,758
2013-01-14,27,1005
2013-01-14,28,754
2013-01-14,30,690
2013-01-14,31,1181
2013-01-14,32,644
2013-01-14,33,1008
2013-01-14,34,2246
2013-01-14,35,579
2013-01-14,37,1305
2013-01-14,38,1502
2013-01-14,39,1248
2013-01-14,40,1109
2013-01-14,41,739
2013-01-14,43,1091
2013-01-14,44,3450
2013-01-14,45,2937
2013-01-14,46,2780
2013-01-14,47,3145
2013-01-14,48,2223
2013-01-14,49,1525
2013-01-14,50,2150
2013-01-14,51,1491
2013-01-14,54,759
2013-01-15,1,1680
2013-01-15,2,1806
2013-01-15,3,2757
2013-01-15,4,1385
2013-01-15,5,1450
2013-01-15,6,1619
2013-01-15,7,1603
2013-01-15,8,2558
2013-01-15,9,2163
2013-01-15,10,1070
2013-01-15,11,2152
2013-01-15,12,1180
2013-01-15,13,871
2013-01-15,14,1554
2013-01-15,15,1319
2013-01-15,16,1001
2013-01-15,17,1216
2013-01-15,18,1350
2013-01-15,19,1042
2013-01-15,23,1075
2013-01-15,24,2338
2013-01-15,25,644
2013-01-15,26,787
2013-01-15,27,953
2013-01-15,28,846
2013-01-15,30,754
2013-01-15,31,1184
2013-01-15,32,683
2013-01-15,33,1062
2013-01-15,34,2285
2013-01-15,35,619
2013-01-15,37,1406
2013-01-15,38,1395
2013-01-15,39,1318
2013-01-15,40,1153
2013-01-15,41,693
2013-01-15,43,1123
2013-01-15,44,3527
2013-01-15,45,3016
2013-01-15,46,2973
2013-01-15,47,3305
2013-01-15,48,2275
2013-01-15,49,1571
2013-01-15,50,2001
2013-01-15,51,1604
2013-01-15,54,768
2013-01-16,1,1933
2013-01-16,2,1988
2013-01-16,3,3108
2013-01-16,4,1557
2013-01-16,5,1461
2013-01-16,6,1677
2013-01-16,7,1619
2013-01-16,8,2820
2013-01-16,9,1981
2013-01-16,10,973
2013-01-16,11,2060
2013-01-16,12,1068
2013-01-16,13,767
2013-01-16,14,1406
2013-01-16,15,1222
2013-01-16,16,782
2013-01-16,17,1127
2013-01-16,18,1313
2013-01-16,19,986
2013-01-16,23,1124
2013-01-16,24,2555
2013-01-16,25,775
2013-01-16,26,786
2013-01-16,27,1070
2013-01-16,28,678
2013-01-16,30,678
2013-01-16,31,1096
2013-01-16,32,648
2013-01-16,33,1010
2013-01-16,34,2218
2013-01-16,35,597
2013-01-16,37,1495
2013-01-16,38,1483
2013-01-16,39,1047
2013-01-16,40,978
2013-01-16,41,736
2013-01-16,43,1037
2013-01-16,44,4026
2013-01-16,45,3183
2013-01-16,46,3034
2013-01-16,47,3406
2013-01-16,48,2343
2013-01-16,49,1780
2013-01-16,50,2302
2013-01-16,51,1852
2013-01-16,54,686
2013-01-17,1,1786
2013-01-17,2,1672
2013-01-17,3,2653
2013-01-17,4,1296
2013-01-17,5,1458
2013-01-17,6,1547
2013-01-17,7,1565
2013-01-17,8,2591
2013-01-17,9,1932
2013-01-17,10,960
2013-01-17,11,2167
2013-01-17,12,1186
2013-01-17,13,794
2013-01-17,14,1420
2013-01-17,15,1274
2013-01-17,16,973
2013-01-17,17,1128
2013-01-17,18,1249
2013-01-17,19,977
2013-01-17,23,1089
2013-01-17,24,2557
2013-01-17,25,640
2013-01-17,26,818
2013-01-17,27,1037
2013-01-17,28,820
2013-01-17,30,790
2013-01-17,31,1161
2013-01-17,32,726
2013-01-17,33,961
2013-01-17,34,2315
2013-01-17,35,555
2013-01-17,37,1258
2013-01-17,38,1342
2013-01-17,39,1194
2013-01-17,40,942
2013-01-17,41,728
2013-01-17,43,1011
2013-01-17,44,3412
2013-01-17,45,2773
2013-01-17,46,2807
2013-01-17,47,3217
2013-01-17,48,2234
2013-01-17,49,1568
2013-01-17,50,2012
2013-01-17,51,1551
2013-01-17,54,727
2013-01-18,1,1745
2013-01-18,2,1901
2013-01-18,3,2936
2013-01-18,4,1493
2013-01-18,5,1378
2013-01-18,6,1548
2013-01-18,7,1749
2013-01-18,8,2766
2013-01-18,9,1639
2013-01-18,10,852
2013-01-18,11,2133
2013-01-18,12,1039
2013-01-18,13,803
2013-01-18,14,1305
2013-01-18,15,1157
2013-01-18,16,906
2013-01-18,17,1035
2013-01-18,18,1209
2013-01-18,19,923
2013-01-18,23,1071
2013-01-18,24,2559
2013-01-18,25,971
2013-01-18,26,822
2013-01-18,27,1034
2013-01-18,28,709
2013-01-18,30,696
2013-01-18,31,1044
2013-01-18,32,619
2013-01-18,33,860
2013-01-18,34,2510
2013-01-18,35,519
2013-01-18,37,1458
2013-01-18,38,1591
2013-01-18,39,1162
2013-01-18,40,944
2013-01-18,41,727
2013-01-18,43,1323
2013-01-18,44,3801
2013-01-18,45,3263
2013-01-18,46,2907
2013-01-18,47,3302
2013-01-18,48,2341
2013-01-18,49,1804
2013-01-18,50,2242
2013-01-18,51,1796
2013-01-18,54,779
2013-01-19,1,1389
2013-01-19,2,2043
2013-01-19,3,3453
2013-01-19,4,1705
2013-01-19,5,1517
2013-01-19,6,2132
2013-01-19,7,1581
2013-01-19,8,2944
2013-01-19,9,2336
2013-01-19,10,1372
2013-01-19,11,2569
2013-01-19,12,1319
2013-01-19,13,1140
2013-01-19,14,2031
2013-01-19,15,1390
2013-01-19,16,1022
2013-01-19,17,1440
2013-01-19,18,1362
2013-01-19,19,1735
2013-01-19,23,1231
2013-01-19,24,2487
2013-01-19,25,1494
2013-01-19,26,961
2013-01-19,27,1382
2013-01-19,28,996
2013-01-19,30,715
2013-01-19,31,1386
2013-01-19,32,770
2013-01-19,33,1201
2013-01-19,34,2695
2013-01-19,35,816
2013-01-19,37,1630
2013-01-19,38,2154
2013-01-19,39,1633
2013-01-19,40,1034
2013-01-19,41,952
2013-01-19,43,1127
2013-01-19,44,4656
2013-01-19,45,3984
2013-01-19,46,4372
2013-01-19,47,4377
2013-01-19,48,3392
2013-01-19,49,2469
2013-01-19,50,3426
2013-01-19,51,1830
2013-01-19,54,908
2013-01-20,1,507
2013-01-20,2,2006
2013-01-20,3,3466
2013-01-20,4,1742
2013-01-20,5,1596
2013-01-20,6,2202
2013-01-20,7,1368
2013-01-20,8,2755
2013-01-20,9,2427
2013-01-20,10,1162
2013-01-20,11,2597
2013-01-20,12,1211
2013-01-20,13,947
2013-01-20,14,1333
2013-01-20,15,1110
2013-01-20,16,1184
2013-01-20,17,1419
2013-01-20,18,1347
2013-01-20,19,1142
2013-01-20,23,1099
2013-01-20,24,1908
2013-01-20,25,816
2013-01-20,26,986
2013-01-20,27,1515
2013-01-20,28,1179
2013-01-20,30,616
2013-01-20,31,1389
2013-01-20,32,801
2013-01-20,33,1133
2013-01-20,34,2324
2013-01-20,35,697
2013-01-20,37,1233
2013-01-20,38,2294
2013-01-20,39,1582
2013-01-20,40,924
2013-01-20,41,1020
2013-01-20,43,1061
2013-01-20,44,4732
2013-01-20,45,4169
2013-01-20,46,4696
2013-01-20,47,4877
2013-01-20,48,4044
2013-01-20,49,2536
2013-01-20,50,3195
2013-01-20,51,1756
2013-01-20,54,1178
2013-01-21,1,1770
2013-01-21,2,1864
2013-01-21,3,2930
2013-01-21,4,1458
2013-01-21,5,1506
2013-01-21,6,1602
2013-01-21,7,1649
2013-01-21,8,2688
2013-01-21,9,2149
2013-01-21,10,1200
2013-01-21,11,2200
2013-01-21,12,1156
2013-01-21,13,864
2013-01-21,14,1934
2013-01-21,15,1439
2013-01-21,16,1000
2013-01-21,17,1310
2013-01-21,18,1306
2013-01-21,19,1158
2013-01-21,23,1161
2013-01-21,24,2391
2013-01-21,25,754
2013-01-21,26,730
2013-01-21,27,1018
2013-01-21,28,708
2013-01-21,30,692
2013-01-21,31,1184
2013-01-21,32,667
2013-01-21,33,1046
2013-01-21,34,2379
2013-01-21,35,509
2013-01-21,37,1370
2013-01-21,38,1414
2013-01-21,39,1325
2013-01-21,40,1169
2013-01-21,41,715
2013-01-21,43,1124
2013-01-21,44,3508
2013-01-21,45,3134
2013-01-21,46,3186
2013-01-21,47,3335
2013-01-21,48,2428
2013-01-21,49,1557
2013-01-21,50,2227
2013-01-21,51,1548
2013-01-21,54,788
2013-01-22,1,1762
2013-01-22,2,1794
2013-01-22,3,2721
2013-01-22,4,1285
2013-01-22,5,1459
2013-01-22,6,1584
2013-01-22,7,1583
2013-01-22,8,2491
2013-01-22,9,1949
2013-01-22,10,1109
2013-01-22,11,2128
2013-01-22,12,1145
2013-01-22,13,903
2013-01-22,14,1558
2013-01-22,15,1270
2013-01-22,16,933
2013-01-22,17,1310
2013-01-22,18,1362
2013-01-22,19,1017
2013-01-22,23,1085
2013-01-22,24,2293
2013-01-22,25,692
2013-01-22,26,690
2013-01-22,27,969
2013-01-22,28,819
2013-01-22,30,752
2013-01-22,31,1185
2013-01-22,32,668
2013-01-22,33,1096
2013-01-22,34,2221
2013-01-22,35,627
2013-01-22,37,1299
2013-01-22,38,1317
2013-01-22,39,1258
2013-01-22,40,1017
2013-01-22,41,646
2013-01-22,43,1055
2013-01-22,44,3349
2013-01-22,45,2759
2013-01-22,46,2786
2013-01-22,47,2973
2013-01-22,48,2130
2013-01-22,49,1500
2013-01-22,50,2182
2013-01-22,51,1489
2013-01-22,54,768
2013-01-23,1,1873
2013-01-23,2,1951
2013-01-23,3,2911
2013-01-23,4,1465
2013-01-23,5,1461
2013-01-23,6,1740
2013-01-23,7,1657
2013-01-23,8,2625
2013-01-23,9,1741
2013-01-23,10,1023
2013-01-23,11,2063
2013-01-23,12,1142
2013-01-23,13,797
2013-01-23,14,1490
2013-01-23,15,1245
2013-01-23,16,908
2013-01-23,17,1082
2013-01-23,18,1231
2013-01-23,19,1078
2013-01-23,23,1178
2013-01-23,24,2501
2013-01-23,25,795
2013-01-23,26,681
2013-01-23,27,1034
2013-01-23,28,674
2013-01-23,30,655
2013-01-23,31,952
2013-01-23,32,565
2013-01-23,33,1011
2013-01-23,34,2071
2013-01-23,35,538
2013-01-23,37,1437
2013-01-23,38,1495
2013-01-23,39,1094
2013-01-23,40,886
2013-01-23,41,722
2013-01-23,43,1019
2013-01-23,44,3704
2013-01-23,45,2872
2013-01-23,46,2901
2013-01-23,47,3207
2013-01-23,48,2179
2013-01-23,49,1606
2013-01-23,50,2186
2013-01-23,51,1683
2013-01-23,54,690
2013-01-24,1,1616
2013-01-24,2,1691
2013-01-24,3,2503
2013-01-24,4,1245
2013-01-24,5,1319
2013-01-24,6,1432
2013-01-24,7,1523
2013-01-24,8,2482
2013-01-24,9,1730
2013-01-24,10,883
2013-01-24,11,2004
2013-01-24,12,1057
2013-01-24,13,746
2013-01-24,14,1456
2013-01-24,15,1178
2013-01-24,16,857
2013-01-24,17,990
2013-01-24,18,1222
2013-01-24,19,861
2013-01-24,23,1056
2013-01-24,24,2275
2013-01-24,25,691
2013-01-24,26,660
2013-01-24,27,976
2013-01-24,28,701
2013-01-24,30,682
2013-01-24,31,1067
2013-01-24,32,680
2013-01-24,33,862
2013-01-24,34,2043
2013-01-24,35,511
2013-01-24,37,1245
2013-01-24,38,1224
2013-01-24,39,1072
2013-01-24,40,923
2013-01-24,41,693
2013-01-24,43,970
2013-01-24,44,3121
2013-01-24,45,2592
2013-01-24,46,2623
2013-01-24,47,2738
2013-01-24,48,1972
2013-01-24,49,1468
2013-01-24,50,2011
2013-01-24,51,1437
2013-01-24,54,617
2013-01-25,1,1770
2013-01-25,2,1949
2013-01-25,3,2943
2013-01-25,4,1498
2013-01-25,5,1447
2013-01-25,6,1620
2013-01-25,7,1758
2013-01-25,8,2748
2013-01-25,9,1710
2013-01-25,10,938
2013-01-25,11,2029
2013-01-25,12,1043
2013-01-25,13,780
2013-01-25,14,1405
2013-01-25,15,1189
2013-01-25,16,890
2013-01-25,17,1043
2013-01-25,18,1190
2013-01-25,19,944
2013-01-25,23,1144
2013-01-25,24,2586
2013-01-25,25,1041
2013-01-25,26,694
2013-01-25,27,1003
2013-01-25,28,676
2013-01-25,30,711
2013-01-25,31,1067
2013-01-25,32,679
2013-01-25,33,815
2013-01-25,34,2472
2013-01-25,35,584
2013-01-25,37,1500
2013-01-25,38,1473
2013-01-25,39,1090
2013-01-25,40,892
2013-01-25,41,750
2013-01-25,43,1286
2013-01-25,44,3751
2013-01-25,45,3172
2013-01-25,46,3109
2013-01-25,47,3213
2013-01-25,48,2262
2013-01-25,49,1805
2013-01-25,50,2264
2013-01-25,51,1709
2013-01-25,54,631
2013-01-26,1,1295
2013-01-26,2,1993
2013-01-26,3,3394
2013-01-26,4,1750
2013-01-26,5,1540
2013-01-26,6,2026
2013-01-26,7,1606
2013-01-26,8,2854
2013-01-26,9,2304
2013-01-26,10,1393
2013-01-26,11,2361
2013-01-26,12,1274
2013-01-26,13,1196
2013-01-26,14,1969
2013-01-26,15,1390
2013-01-26,16,1105
2013-01-26,17,1557
2013-01-26,18,1296
2013-01-26,19,1646
2013-01-26,23,1203
2013-01-26,24,2358
2013-01-26,25,1635
2013-01-26,26,862
2013-01-26,27,1341
2013-01-26,28,963
2013-01-26,30,751
2013-01-26,31,1313
2013-01-26,32,867
2013-01-26,33,949
2013-01-26,34,2715
2013-01-26,35,752
2013-01-26,37,1477
2013-01-26,38,2280
2013-01-26,39,1637
2013-01-26,40,1055
2013-01-26,41,978
2013-01-26,43,1147
2013-01-26,44,4812
2013-01-26,45,4168
2013-01-26,46,4364
2013-01-26,47,4363
2013-01-26,48,3628
2013-01-26,49,2503
2013-01-26,50,3221
2013-01-26,51,1814
2013-01-26,54,917
2013-01-27,1,542
2013-01-27,2,1937
2013-01-27,3,3355
2013-01-27,4,1799
2013-01-27,5,1412
2013-01-27,6,2101
2013-01-27,7,1299
2013-01-27,8,2715
2013-01-27,9,2226
2013-01-27,10,1155
2013-01-27,11,2539
2013-01-27,12,1190
2013-01-27,13,901
2013-01-27,14,1266
2013-01-27,15,1078
2013-01-27,16,1180
2013-01-27,17,1372
2013-01-27,18,1387
2013-01-27,19,1266
2013-01-27,23,1107
2013-01-27,24,1813
2013-01-27,25,845
2013-01-27,26,890
2013-01-27,27,1534
2013-01-27,28,1131
2013-01-27,30,622
2013-01-27,31,1204
2013-01-27,32,702
2013-01-27,33,1165
2013-01-27,34,2381
2013-01-27,35,650
2013-01-27,37,1204
2013-01-27,38,2331
2013-01-27,39,1603
2013-01-27,40,954
2013-01-27,41,1126
